
 [START 2018-12-23 19:19:12] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------


best   79.0   79.0         |         0.030  0.540           |         0.036  0.5292         |         0.035435  0.531662    | 12 hr 26 min


best   80.0   80.0         |         0.030  0.540           |         0.036  0.5292         |         0.035435  0.531662    | 12 hr 35 min


best   81.0   81.0         |         0.031  0.540           |         0.036  0.5302         |         0.035435  0.531662    | 12 hr 44 min


best   82.0   82.0         |         0.030  0.541           |         0.035  0.5299         |         0.035435  0.531662    | 12 hr 54 min


best   83.0   83.0         |         0.030  0.540           |         0.036  0.5297         |         0.035435  0.531662    | 13 hr 03 min


best   84.0   84.0         |         0.030  0.541           |         0.036  0.5293         |         0.035435  0.531662    | 13 hr 12 min


best   85.0   85.0         |         0.030  0.540           |         0.036  0.5279         |         0.035435  0.531662    | 13 hr 22 min


best   86.0   86.0         |         0.030  0.542           |         0.036  0.5297         |         0.035435  0.531662    | 13 hr 31 min


best   87.0   87.0         |         0.030  0.541           |         0.036  0.5312         |         0.035435  0.531662    | 13 hr 40 min


best   88.0   88.0         |         0.030  0.542           |         0.036  0.5285         |         0.035435  0.531662    | 13 hr 49 min


best   89.0   89.0         |         0.030  0.541           |         0.036  0.5310         |         0.035435  0.531662    | 13 hr 59 min


best   90.0   90.0         |         0.030  0.541           |         0.036  0.5308         |         0.035435  0.531662    | 14 hr 08 min


best   91.0   91.0         |         0.031  0.541           |         0.035  0.5307         |         0.035249  0.531662    | 14 hr 17 min


best   92.0   92.0         |         0.031  0.541           |         0.036  0.5298         |         0.035249  0.531662    | 14 hr 27 min


best   93.0   93.0         |         0.030  0.540           |         0.036  0.5301         |         0.035249  0.531662    | 14 hr 36 min


best   94.0   94.0         |         0.030  0.542           |         0.036  0.5300         |         0.035249  0.531662    | 14 hr 45 min


best   95.0   95.0         |         0.030  0.540           |         0.036  0.5286         |         0.035249  0.531662    | 14 hr 55 min


best   96.0   96.0         |         0.030  0.541           |         0.036  0.5294         |         0.035249  0.531662    | 15 hr 04 min


best   97.0   97.0         |         0.030  0.540           |         0.036  0.5309         |         0.035249  0.531662    | 15 hr 13 min


best   98.0   98.0         |         0.030  0.540           |         0.036  0.5308         |         0.035249  0.531662    | 15 hr 23 min


best   99.0   99.0         |         0.030  0.541           |         0.036  0.5281         |         0.035249  0.531662    | 15 hr 32 min
